Name,Screen Name,Party
Στέλιος Κυμπουρόπουλος,no,N.D
Ευάγγελος Μεϊμαράκης,@v_meimarakis,N.D
Ελισσάβετ Βόζεμπεργκ Βρυωνίδη,no,N.D
Μαρία Σπυράκη,@MariaSpyraki,N.D
Μανώλης Κεφαλογιάννης,@M_Kefalogiannis,N.D
Άννα Μισέλ Ασημακοπούλου,@AnnaAsimakopoul,N.D
Γιώργος Κύρτσος,@GiorgosKyrtsos,N.D
Θεόδωρος Ζαγοράκης,@zagorakis_euro,N.D
Δημήτριος Παπαδημούλης,@papadimoulis,Syriza
Έλενα Κουντουρά,@ElenaKountoura,Syriza
Κωνσταντίνος Αρβανίτης,@kostarvanitis,Syriza
Στυλιανός Κούλογλου,@SteliosKoul,Syriza
Αλέξανδρος Γεωργούλης,@GeorgoulisAlexi,Syriza
Πέτρος Κόκκαλης,@PetrosKokkalis,Syriza
Νικόλαος Ανδρουλάκης,@androulakisnick,Kinima Allagis
Ευδοξία Καΐλη,@EvaKaili,Kinima Allagis
Νίκος Παπανδρέου,@NicosPapandreou,Kinima Allagis
Κωνσταντίνος Παπαδάκης,no,KKE
Λευτέρης Νικολάου Αλαβάνος,no,KKE
Ιωάννης Λαγός,no,Xrysi Avgi
Αθανάσιος Κωνσταντίνου,no,Xrysi Avgi
Κυριάκος Βελόπουλος,@velopky,Elliniki Lysi
Εμμανουήλ Φράγκος,no,Elliniki Lysi
