Name,Screen Name,Constituency,Party,Followers
Adam Afriyie,@AdamAfriyie,Windsor,Conservative,13346
Alan Duncan,@AlanDuncanMP,Rutland and Melton,Conservative,23261
Alan Mak,@AlanMakMP,Havant,Conservative,7648
Alberto Costa,@AlbertoCostaMP,South Leicestershire,Conservative,8143
Alec Shelbrooke,@AlecShelbrooke,Elmet and Rothwell,Conservative,14277
Alex Burghart,@alexburghart,Brentwood and Ongar,Conservative,2892
Alex Chalk,@AlexChalkChelt,Cheltenham,Conservative,7131
Alistair Burt,@AlistairBurtUK,North East Bedfordshire,Conservative,25045
Alok Sharma,@AlokSharma_RDG,Reading West,Conservative,11988
Alun Cairns,@AlunCairns,Vale of Glamorgan,Conservative,12777
Amanda Milling,@amandamilling,Cannock Chase,Conservative,7157
Amber Rudd,@AmberRuddHR,Hastings and Rye,Conservative,90159
Andrea Jenkyns,@andreajenkyns,Morley and Outwood,Conservative,43859
Andrea Leadsom,@andrealeadsom,South Northamptonshire,Conservative,89965
Andrew Bowie,@AndrewBowieMP,West Aberdeenshire and Kincardine,Conservative,4784
Andrew Bridgen,@ABridgen,North West Leicestershire,Conservative,23152
Andrew Jones,@AJonesMP,Harrogate and Knaresborough,Conservative,13817
Andrew Lewer,@ALewerMBE,Northampton South,Conservative,3634
Andrew Rosindell,@AndrewRosindell,Romford,Conservative,14466
Andrew Selous,@AndrewSelous,South West Bedfordshire,Conservative,17341
Andrew Stephenson,@Andrew4Pendle,Pendle,Conservative,19928
Anne Marie Morris,@AnneMarieMorris,Newton Abbot,Conservative,17741
Anne Milton,@AnneMilton,Guildford,Conservative,14814
Anne-Marie Trevelyan,@annietrev,Berwick-upon-Tweed,Conservative,12006
Antoinette Sandbach,@Sandbach,Eddisbury,Conservative,11646
Ben Bradley,@bbradleymp,Mansfield,Conservative,10833
Ben Wallace,@BWallaceMP,Wyre and Preston North,Conservative,5676
Bernard Jenkin,@bernardjenkin,Harwich and North Essex,Conservative,28128
Bim Afolami,@BimAfolami,Hitchin and Harpenden,Conservative,6650
Bob Blackman,@BobBlackman,Harrow East,Conservative,11605
Bob Seely,@IoWBobSeely,Isle of Wight,Conservative,5559
Boris Johnson,@BorisJohnson,Uxbridge and South Ruislip,Conservative,552428
Brandon Lewis,@BrandonLewis,Great Yarmouth,Conservative,44806
Caroline Dinenage,@cj_dinenage,Gosport,Conservative,16711
Caroline Nokes,@carolinenokes,Romsey and Southampton North,Conservative,13470
Caroline Spelman,@spelmanc,Meriden,Conservative,8094
Charlie Elphicke,@CharlieElphicke,Dover,Conservative,16323
Cheryl Gillan,@CherylGillan,Chesham and Amersham,Conservative,12365
Chloe Smith,@NorwichChloe,Norwich North,Conservative,16516
Chris Green,@CGreenUK,Bolton West,Conservative,6849
Chris Heaton-Harris,@chhcalling,Daventry,Conservative,17695
Chris Philp,@CPhilpOfficial,Croydon South,Conservative,7264
Chris Skidmore,@CSkidmoreUK,Kingswood,Conservative,16639
Christopher Pincher,@ChrisPincher,Tamworth,Conservative,13364
Claire Perry,@claireperrymp,Devizes,Conservative,7777
Colin Clark,@Colin_J_Clark,Gordon,Conservative,2165
Conor Burns,@ConorBurnsUK,Bournemouth West,Conservative,18314
Craig Mackinlay,@cmackinlay,South Thanet,Conservative,7892
Craig Tracey,@craig4nwarks,North Warwickshire,Conservative,6162
Craig Whittaker,@CWhittakerMP,Calder Valley,Conservative,7679
Crispin Blunt,@CrispinBlunt,Reigate,Conservative,9984
Damian Collins,@DamianCollins,Folkestone and Hythe,Conservative,27631
Damian Green,@DamianGreen,Ashford,Conservative,16539
Damian Hinds,@DamianHinds,East Hampshire,Conservative,33673
Damien Moore,@damienmooremp,Southport,Conservative,2025
Daniel Kawczynski,@DKShrewsbury,Shrewsbury and Atcham,Conservative,17160
David Amess,@amessd_southend,Southend West,Conservative,1665
David Davis,@daviddavismp,Haltemprice and Howden,Conservative,122319
David Duguid,@DavidDuguidMP,Banff and Buchan,Conservative,1078
David Evennett,@DavidEvennett,Bexleyheath and Crayford,Conservative,12025
David Gauke,@DavidGauke,South West Hertfordshire,Conservative,18138
David Lidington,@DLidington,Aylesbury,Conservative,24163
David Morris,@davidmorrisml,Morecambe and Lunesdale,Conservative,11658
David Mundell,@DavidMundellDCT,"Dumfriesshire, Clydesdale and Tweeddale",Conservative,14849
David Rutley,@DavidRutley,Macclesfield,Conservative,11760
David T. C. Davies,@DavidTCDavies,Monmouth,Conservative,14790
David Warburton,@DJWarburton,Somerton and Frome,Conservative,11308
Derek Thomas,@DerekThomasUK,St Ives,Conservative,3202
Desmond Swayne,@DesmondSwayne,New Forest West,Conservative,5098
Dominic Raab,@DominicRaab,Esher and Walton,Conservative,46103
Douglas Ross,@Douglas4Moray,Moray,Conservative,7645
Dr Andrew Murrison,@AWMurrison,South West Wiltshire,Conservative,11805
Dr Caroline Johnson,@drcarolinej,Sleaford and North Hykeham,Conservative,3647
Dr Liam Fox,@LiamFox,North Somerset,Conservative,82587
Dr Phillip Lee,@DrPhillipLeeMP,Bracknell,Conservative,27978
Dr Thérèse Coffey,@theresecoffey,Suffolk Coastal,Conservative,17913
Eddie Hughes,@EddieHughes4WN,Walsall North,Conservative,4415
Edward Leigh,@EdwardLeighMP,Gainsborough,Conservative,6226
Edward Vaizey,@edvaizey,Wantage,Conservative,39849
Eleanor Laing,@eleanor4epping,Epping Forest,Conservative,2034
Elizabeth Truss,@trussliz,South West Norfolk,Conservative,55474
Esther McVey,@EstherMcVey1,Tatton,Conservative,29079
Gary Streeter,@garystreeterSWD,South West Devon,Conservative,2942
Gavin Williamson,@GavinWilliamson,South Staffordshire,Conservative,44593
Geoffrey Cox QC,@geoffrey_cox,Torridge and West Devon,Conservative,29355
George Freeman,GeorgeFreemanMP,Mid Norfolk,Conservative,24921
Giles Watling,@GilesWatling,Clacton,Conservative,2647
Gillian Keegan,@GillianKeegan,Chichester,Conservative,5293
Glyn Davies,@GlynDavies,Montgomeryshire,Conservative,6460
Graham Stuart,@grahamstuart,Beverley and Holderness,Conservative,13429
Grant Shapps,@grantshapps,Welwyn Hatfield,Conservative,84819
Greg Clark,@GregClarkMP,Tunbridge Wells,Conservative,28591
Greg Hands,@GregHands,Chelsea and Fulham,Conservative,28083
Greg Knight,@GregKnight,East Yorkshire,Conservative,8178
Guto Bebb,@GutoAberconwy,Aberconwy,Conservative,2264
Guy Opperman,@GuyOpperman,Hexham,Conservative,13657
Harriett Baldwin,@hbaldwin,West Worcestershire,Conservative,25544
Heather Wheeler,@HeatherWheeler,South Derbyshire,Conservative,15782
Helen Grant,@HelenGrantMP,Maidstone and The Weald,Conservative,15779
Helen Whately,@Helen_Whately,Faversham and Mid Kent,Conservative,8399
Henry Smith,@HenrySmithUK,Crawley,Conservative,12911
Hugo Swire,@HugoSwire,East Devon,Conservative,17354
Huw Merriman,@HuwMerriman,Bexhill and Battle,Conservative,8209
Iain Stewart,@iainastewart,Milton Keynes South,Conservative,14984
Jack Lopresti,@JackLopresti,Filton and Bradley Stoke,Conservative,6111
Jackie Doyle-Price,@JackieDP,Thurrock,Conservative,8039
Jacob Rees-Mogg,@Jacob_Rees_Mogg,North East Somerset,Conservative,276399
Jake Berry,@JakeBerry,Rossendale and Darwen,Conservative,16130
James Brokenshire,@JBrokenshire,Old Bexley and Sidcup,Conservative,26743
James Cartlidge,@jc4southsuffolk,South Suffolk,Conservative,7182
James Cleverly,@JamesCleverly,Braintree,Conservative,46236
James Duddridge,@JamesDuddridge,Rochford and Southend East,Conservative,14999
James Gray,@JGray,North Wiltshire,Conservative,15662
James Heappey,@JSHeappey,Wells,Conservative,8512
James Morris,@JamesMorris,Halesowen and Rowley Regis,Conservative,7144
Jeremy Hunt,@Jeremy_Hunt,South West Surrey,Conservative,160547
Jeremy Lefroy,@JeremyLefroy,Stafford,Conservative,11255
Jesse Norman,@Jesse_Norman,Hereford and South Herefordshire,Conservative,23487
Jo Churchill,@Jochurchill4,Bury St Edmunds,Conservative,7513
John Glen,@JohnGlenUK,Salisbury,Conservative,19990
John Howell,@JHowellUK,Henley,Conservative,5031
John Lamont,@John2Win,"Berwickshire, Roxburgh and Selkirk",Conservative,7730
John Penrose,@johnpenrosenews,Weston-super-Mare,Conservative,38163
John Redwood,@johnredwood,Wokingham,Conservative,60226
John Stevenson,@JohnStevensonMP,Carlisle,Conservative,10674
John Whittingdale,@JWhittingdale,Maldon,Conservative,7533
Johnny Mercer,@JohnnyMercerUK,"Plymouth, Moor View",Conservative,61301
Jonathan Djanogly,@JDjanogly,Huntingdon,Conservative,16664
Jonathan Lord,@JonathanLord,Woking,Conservative,1144
Joseph Johnson,@JoJohnsonUK,Orpington,Conservative,33207
